question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
In which Harry Potter movie were the Hogwarts courtyard and bridge seen for the first time?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Hard,Medium,the prisoner of Azkaban,Harry Potter and the prisoner of Azkaban,Prisoner of Azkaban,Harry Potter and the prisoner of Azkaban
What score did the film receive at Metacritic?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,82,82 out of 100,82/100,82 out of 100
What's the name of 2004's highest grossing movie?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Hard,Hard,Shrek 2,Shrek 2,Shrek 2,Shrek 2
Was the film released in both conventional and IMAX theatres?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Easy,Easy,Easy,Yes,Yes,Yes,Yes
When did Harry receive the Firebolt according to the book?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Hard,Hard,At Christmas, Christmas,At Christmas, Christmas
Was Prisoner of Azkaban successful at the box office compared to other movies in the Harry Potter series?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard ,Hard,Hard,Hard,No,No,No,No
How many films from the Harry Potter series nominated for an Oscar?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,2 films,2,2 films,2
Who were the dementors searching for when they boarded the train?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,Sirius,Sirius,Sirius,Sirius
What's the name of the 4th Harry Potter film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard, the Goblet of Fire,Harry Potter and the Goblet of Fire, Goblet of Fire,Harry Potter and the Goblet of Fire
When was Python 2.0 released?,http://en.wikipedia.org/wiki/Python_language,Easy,Easy,Easy,Easy,16 October 2020,16 October 2020,16 October 2020,16 October 2020
What is code that is difficult to understand called?,http://en.wikipedia.org/wiki/Python_language,Easy,Easy,Easy,Easy,unpythonic,unpythonic,unpythonic,unpythonic
What is the name of the feature that binds method and variable name during program execution? ,http://en.wikipedia.org/wiki/Python_language,Medium,Easy,Easy,Easy,Dynamic name resolution,Dynamic name resolution,Dynamic name resolution,Dynamic name resolution
What is the document that summarizes the philosophy of Python?,,Easy,Easy,Easy,Easy,PEP20 ,PEP20 The Zen of Python,PEP20 ,PEP20 The Zen of Python
What do Python developers try to avoid?,http://en.wikipedia.org/wiki/Python_language,Medium,Medium,Easy,Easy,premature optimization,premature optimization,premature optimization,premature optimization
What is the title given to Van Rossum?,http://en.wikipedia.org/wiki/Python_language,Medium,Medium,Medium,Medium,Benevolent Dictator for Life,Benevolent Dictator for Life,Benevolent Dictator for Life,Benevolent Dictator for Life
What is the pass statement syntactically needed for?,http://en.wikipedia.org/wiki/Python_language,Medium,Medium,Medium,Medium,creating an empty code block,to create an empty code block,creating an empty code block,to create an empty code block
What does Python use to delimit blocks,http://en.wikipedia.org/wiki/Python_language,Medium,Medium,Medium,Medium,white space indentation,white space indentation,white space indentation,white space indentation
How many packages do Python Package Index contain?,,Medium,Medium,Easy,Medium,"72,000","72,000","72,000","72,000"
Where in Portugal was Cristiano Ronaldo born?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,easy,easy,easy,Madeira,Madeira,Madeira,Madeira
Who is the first soccer player to earn 1 billion US Dollars in his career?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,medium,medium,medium,medium,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo
When was Ronaldo's first game in Premier League?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,hard,hard,hard,16 August 2003,"August 16, 2003","August 16, 2003",16 August 2003
How many goals did Messi achieved in 2011-12 season?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,73,73,73,73
What was the occupation of Lionel Messi's father?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,a steel factory manager,a steel factory manager,a steel factory manager,steel factory manager
Which club was Messi playing for before joining the current club?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,medium/hard,Newell's Old Boys,Barcelona,Barcelona,Barcelona
In which year was Cristiano Ronaldo born?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,easy,easy,easy,1985,1985,1985,1985
Who won the FIFA Ballon d'Or in 2014?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,medium,medium,medium,medium,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo
How many players have scored 50 or more goals in a season on five consecutive occasions?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,hard,hard,hard,1,1,1,1
At what age did Lionel Messi relocate to Spain?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,13,13,13,13
Who was the best player in the 2005 FIFA World Youth Championship?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,easy,easy,easy,Lionel Messi,Lionel Messi,Lionel Messi,Lionel Messi
"On average, how many goals did Lionel Messi score in one game for the Cadetes A in 2002-03?",http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,1.2,1.2,1.2,1.2
How many European Cup did Cristiano Ronaldo win?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,hard,easy,medium,5,2,2,2
What club is Cristiano Ronaldo playing for now?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,easy,medium,easy,Manchester United,Manchester United,Manchester United,Manchester United
How many goals did Cristiano Ronaldo score on average per game at Real Madrid?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,medium,hard,hard,1.07,1.07,1.07,1.03
How many Copa America did Lionel Messi win?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,easy,hard,1,1,1,1
What club is Lionel Messi playing for now?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,medium,easy,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain
How many goals did Lionel Messi score on average per game at FC Barcelona?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,medium,hard,hard,0.91,0.91,0.91,0.86
How many trophies has Cristiano Ronaldo won so far?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,easy,easy,easy,32,32,32,32
In which years did Cristiano Ronaldo win the European Golden Shoe?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,easy,medium,medium,"2007-08, 2010-11, 2013-14, 2014-15","2007ñ08, 2010ñ11, 2013ñ14, 2014ñ15","2007ñ08, 2010ñ11, 2013ñ14, 2014ñ15","2007ñ08, 2010ñ11, 2013ñ14, 2014ñ15"
Why did Cristiano Ronaldo leave Real Madrid?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,hard,hard,hard,he needed a new challenge,He needed new challenge,"Upon signing, Ronaldo cited his need for a new challenge as his rationale for departing Madrid,[229] but later attributed the transfer to the lack of support he felt was shown by club president Florentino PÈrez.","Upon signing, Ronaldo cited his need for a new challenge as his rationale for departing Madrid,[229] but later attributed the transfer to the lack of support he felt was shown by club president Florentino PÈrez."
What's the name of Messi's mother?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,easy,easy,Celia Cuccittini,Celia Cuccittini,Celia Cuccittini,Celia Cuccittini
How much arrears and fines did Messi pay for tax evasion?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,medium,medium,6.8 million euros,6.8 million Euros,6.8million euros,6.8million euros
Which clubs has the most goals from a single player?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Barcelona,Barcelona,Barcelona,Barcelona
Is Harry Potter and the Chamber of Secrets the sequel of Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,hard,medium,,yes,No,yes,
Is Uncle Vernon's sister named Marge?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,,yes,yes,yes,
What is the fastest broom in the world?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,easy,,Firebolt,Firebolt,Firebolt broom,
What is Ron's pet rat's name?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,medium,,Scabbers,Scabbers,Scabbers,
Who guards the Gryffindor quarters?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,medium,easy,,The Fat Lady,The Fat Lady,The Fat Lady's portrait,
Who played Professor Sybill Trelawney in Harry Potter?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,medium,,Emma Thompson,Emma Thompson,Emma Thompson,
Who rejected a graveyard to be placed on Hogwarts' grounds?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,hard,hard,,JK Rowling,JK Rowling,J.K. Rowling,
"Who said ""I'm Ron; Ron wouldn't do it.""?",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,hard,medium,,Rupert Grint,Rupert Grint,Rupert Grint,
Who directed Star Trek?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,J.J. Abrams,J.J. Abrams,J. J. Abrams,
Who does Jimmy Bennet portray?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,A younger Kirk,Young Kirk,Young Kirk,
Which shirt did Quinto wear for the audition?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,A blue shirt,blue shirt,blue shirt,
What is the name of the second sequel of the film?,https://en.wikipedia.org/wiki/Star_Trek_(film),medium,medium,hard,, Star Trek Into Darkness,Star Treck Beyond,Star Trek Beyond,
How much did Star trek earn?,https://en.wikipedia.org/wiki/Star_Trek_(film),hard,hard,hard,,"$385,494,555",$385.7 million,over $385.7 million,
Who was George Kirk's second wife?,https://en.wikipedia.org/wiki/Star_Trek_(film),hard,hard,hard,,,Winona,-,
Who is Narada's first officer?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,Ayel,Ayel,Ayel,
When did the first teaser trailer debut?,https://en.wikipedia.org/wiki/Star_Trek_(film),medium,easy,easy,,"January 18, 2008","anuary 18, 2008","January 18, 2008",
How many shots did Lola visual effects work on?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,48,48,48,
Who directed Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,,Alfonso Cuar√≥n,Alfonso Cuar√≥n,Alfonso Cuar√≥n,
Does the patronus charm protect against demontors?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,medium,medium,,yes,Yes,yes,
Who is the new Care of Magical Creatures professor?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,,Rubeus Hagrid,Hagrid,Rubeus Hagrid,
Where were the Hogwarts lake filmed?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,hard,easy,,"Virginia Water Lake,Loch Shiel, Loch Eilt and Loch Morar in the Scottish Highlands.",Scottish Highlands,"Loch Shiel, Loch Eilt and Loch Morar in the Scottish Highlands",
Why did prodocution of the movie switch to a 18 month cycle?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,hard,hard,,to give each film the time it required,to give each [film] the time it required,to give each film the time it required,
Which special effect technique does the knight bus segment use?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,medium,,bullet time,bullet time,bullet time,
Which movie in the Harry Potter Franchise had the worst performance in the box office?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,hard,hard,,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,
Why did Gary Oldman accept the role of Sirus Black?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,medium,,Because he needed the money,Because he needed the money,he needed the money,
Who played Dumbledore in the previous two movies?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,easy,,Richard Harris,Richard Harris,Richard Harris,
Is Star Trek a 2009 film?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,Yes,Yes,Yes,
Was Star Trek written by Roberto Orci and Alex Kurtzman?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,Yes,Yes,Yes,
Who threatens the United Federation of Planets?,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,medium,,Nero,Nero,Nero,
"Did principle photography for Star Trek end on March 27, 2008?",https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,Yes,Yes,Yes,
Why did Paramount move the release date of Star Trek?,https://en.wikipedia.org/wiki/Star_Trek_(film),medium,medium,medium,,The studio felt more people would see the film during summer than winter.,The studio felt more people would see the film during summer than winter.,The studio felt more people would see the film during summer than winter.,
Is Star Trek a reboot that features characters from the original television series? ,https://en.wikipedia.org/wiki/Star_Trek_(film),easy,easy,easy,,Yes,Yes,Yes,
Why was it acceptable for Kirk to cheat in the Kobayashi Maru simulation?,https://en.wikipedia.org/wiki/Star_Trek_(film),hard,hard,hard,,Because the simulation was designed to be unbeatable.,The simulation was designed to be unbeatable.,Because the simulation was designed to be unbeatable.,
Where were the makers of the rugged clothes for the Romulans based in?,https://en.wikipedia.org/wiki/Star_Trek_(film),medium,medium,hard,,Bali,Bali,Bali,
"Who initially only became involved with Star Trek as producer because he wanted to help Orci, Kurtzman and Lindelof?",https://en.wikipedia.org/wiki/Star_Trek_(film),hard,hard,hard,,Abrams,Abrams,Abrams,
Which programming paradigms does Python support?,set3/a7.txt,hard,hard,hard,hard,Object-oriented and structured programming,"The programming paradigms that Python supports are object-oriented, imperative and functional programming or procedural styles.","object-oriented, imperative and functional programming or procedural styles",Object-oriented and structured programming
What is the off-side rule?,set1/a7.txt,hard,hard,hard,hard,"The off-side rule is the use of whitespace indentation to delimit blocks.
","The off-side rule is the use of whitespace indentation to delimit blocks.
",The use of white space to delimit blocks.,"Python's use of whitespace indentation, rather than curly braces or keyword, to delimit blocks."
